"notebook_file","doi"
"concordance_explorer.ipynb","10.5281/zenodo.19477020"
"text_cleaner.ipynb","10.5281/zenodo.19477022"
"pos_tagger.ipynb","10.5281/zenodo.19477024"
"collocation_analyser.ipynb","10.5281/zenodo.19477026"
"keyword_finder.ipynb","10.5281/zenodo.19477028"
"network_visualiser.ipynb","10.5281/zenodo.19477030"
"topic_explorer.ipynb","10.5281/zenodo.19477032"
"sentiment_explorer.ipynb","10.5281/zenodo.19477034"
"frequency_analyser.ipynb","10.5281/zenodo.19477036"
"readability_analyser.ipynb","10.5281/zenodo.19477040"
