"notebook_file","title","status","doi","edit_url"
"concordance_explorer.ipynb","LADAL Concordance Explorer","DRAFT CREATED","10.5281/zenodo.19477020","https://zenodo.org/deposit/19477020"
"text_cleaner.ipynb","LADAL Text Cleaner","DRAFT CREATED","10.5281/zenodo.19477022","https://zenodo.org/deposit/19477022"
"pos_tagger.ipynb","LADAL Part-of-Speech Tagger","DRAFT CREATED","10.5281/zenodo.19477024","https://zenodo.org/deposit/19477024"
"collocation_analyser.ipynb","LADAL Collocation Analyser","DRAFT CREATED","10.5281/zenodo.19477026","https://zenodo.org/deposit/19477026"
"keyword_finder.ipynb","LADAL Keyword Finder","DRAFT CREATED","10.5281/zenodo.19477028","https://zenodo.org/deposit/19477028"
"network_visualiser.ipynb","LADAL Network Visualiser","DRAFT CREATED","10.5281/zenodo.19477030","https://zenodo.org/deposit/19477030"
"topic_explorer.ipynb","LADAL Topic Explorer","DRAFT CREATED","10.5281/zenodo.19477032","https://zenodo.org/deposit/19477032"
"sentiment_explorer.ipynb","LADAL Sentiment Explorer","DRAFT CREATED","10.5281/zenodo.19477034","https://zenodo.org/deposit/19477034"
"frequency_analyser.ipynb","LADAL Frequency Analyser","DRAFT CREATED","10.5281/zenodo.19477036","https://zenodo.org/deposit/19477036"
"readability_analyser.ipynb","LADAL Readability Analyser","DRAFT CREATED","10.5281/zenodo.19477040","https://zenodo.org/deposit/19477040"
